age,dec,inc,lat,lon
1200,10,61.5,51.5,359.3
1200,10.9,50.9,52.3,359.7
1200,10.3,63.6,51.5,359.9
1200,13.2,60.6,53.8,359.6
1200,13.5,61.5,54,358.9
1200,11.7,57.7,51.2,359.2
1200,347.8,46.7,54.9,358.2
1212,20.8,58.8,53.05,7.33
1215,13.5,61.3,52.7,359.5
1215,12,57.3,52,359.3
1215,9.4,60.6,52.14,10.95
1220,13,61.7,52.7985,357.8541
1225,15.8,62.4,54.9,358.2
1225,10.9,66.9,52.27,10.52
1225,18.2,64.2,43.2,1.1
1225,15.1,53.3,44.1,4.5
1225,19.6,58.9,44.1,4.5
1225,14.7,59.6,49.3,9.5
1225,11.2,57.8,49.1,2.5
1230,12.3,59.9,51.54,9.64
1230,7.8,60.3,51.54,9.64
1230,6,61.2,51.54,9.64
1230,2.1,63.3,52.14,10.95
1244,8.5,52.9,51.1,358.2
1246,7.8,60,49.1,5
1250,11.4,65.9,52.02,8.53
1250,3.2,62.7,52.14,10.95
1250,355,58,43.1,2.9
1250,13.6,56.5,45.8,3.4
1250,21.4,63.3,49.2,359.6
1250,11.5,55.1,47.9,1.9
1250,15.5,55.9,48,3.3
1250,21.7,61.1,50.4,3.1
1250,14.6,63.1,51.2,357.4
1250,81.8,67.5,51.2,357.4
1250,9.6,61.7,54.9,358.2
1250,11.5,62,54.9,358.2
1250,5.9,63.3,54.9,358.2
1250,10.2,67.6,54.9,357.5
1250,10.5,66.1,54.9,357.5
1250,14.5,63.6,55.1,358.4
